,MES_CORTE,ID,LINEA_TC,TIPO_FLUJO_TC,INGRESO_BRUTO,EDAD,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,NRO_PAS_PBK,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,EMP_REP_TC_SF,EMP_REP_PP_SF,EMP_REP_CONV_SF,EMP_REP_VEH_SF,EMP_REP_HIP_SF,SALDO_TC_SF,SALDO_PP_SF,SALDO_CONV_SF,SALDO_VEH_SF,SALDO_HIP_SF,SALDO_TCSF_UU6,MAX_SALDO_TCSF_U6,MIN_SALDO_TCSF_U6,MAX_LINEA_TCSF,MIN_LINEA_TCSF,LINEA_TOT_TCSF,MAX_SALTC_SF_UM,MIN_SALTC_SF_UM,SALDO_SF_UM,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,IND_DEU_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,RECENCIA_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TARGET_XF
13115,201604,90613071,2300,FAST1,1405,27,M,DEPENDIENTE,UCAYALI,0,0,1,0,0,1,0,2,0,0,0,0,0.0,1,2,1,0,0,0,1064.14,4273.04,0.0,0.0,0.0,1074.185,1074.185,1074.185,3700.0,2000.0,5700.0,804.93,259.21,1064.14,2.0,1.833333333,0.916666667,2,2,2.633451957,1.6370106759999998,3.798704626,0.20015317,14.0,2.333333333,0.0,0,0.0,1
13116,201604,17787803,2800,REG,3572,55,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,370.23,3256.8,0.0,0.0,0.0,389.776,389.776,389.776,1000.0,1000.0,1000.0,370.23,370.23,370.23,1.0,1.0,1.0,1,1,0.279955207,0.78387458,1.015405935,0.267841984,5.0,0.833333333,1.0,1,0.166666667,1
13117,201604,141500967,1200,FAST1,1377,21,F,INDEPENDIENTE,LAMBAYEQUE,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,138.31,1290.96,0.0,0.0,0.0,1001.86,1001.86,1001.86,1610.0,1610.0,1610.0,138.31,138.31,138.31,1.0,1.0,1.0,1,1,1.169208424,0.871459695,1.037959332,0.359803825,15.0,2.5,0.0,0,0.0,1
13118,201604,80074115,2600,FAST1,3074,37,M,DEPENDIENTE,ICA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,369.1,0.0,0.0,0.0,0.0,521.945,521.945,521.945,1000.0,1000.0,1000.0,369.1,369.1,369.1,1.0,1.0,1.0,1,1,0.325309044,0.845803513,0.120071568,0.061174852,43.0,7.166666667,0.0,6,1.0,1
13119,201604,94212905,1000,REG1,1269,24,F,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,1192.87,0.0,0.0,0.0,0.0,1048.033333,1192.87,903.1966667000004,1200.0,1200.0,2400.0,898.87,294.0,1192.87,1.166666667,1.166666667,1.0,2,2,0.945626478,0.788022065,0.94000788,0.169485754,10.0,1.666666667,0.0,1,0.166666667,1
13120,201604,21016735,1000,REG1,1392,39,F,INDEPENDIENTE,LIMA,0,0,0,1,1,0,1,3,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.718390805,0.0,0.177633417,5.0,0.833333333,3.0,0,0.0,1
13121,201604,21071889,1300,REG2,1573,44,F,INDEPENDIENTE,LIMA,0,0,0,0,1,0,1,2,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.826446281,0.0,0.039325872,20.0,3.333333333,0.0,2,0.333333333,1
13122,201604,14855897,3100,FAST1,1418,56,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.352609309,2.186177715,0.0,0.486679348,13.0,2.166666667,0.0,1,0.166666667,1
13123,201604,83731577,4100,FAST2,5206,33,M,MIXTO,PIURA,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,48400.55,0.0,11599.34244,13785.85,9121.314,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.933333333,0,0,0.0,0.787552824,9.297070688,0.537958409,29.0,4.833333333,0.0,0,0.0,1
13124,201604,88977691,1500,REG1,1725,29,F,DEPENDIENTE,ICA,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,0,1,0,0,0,0.0,695.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.869565217,0.402904348,0.293688887,18.0,3.0,1.0,4,0.666666667,1
