ID,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO
20366263,-0.42382757625325407,2.138434477165705,-2.096205926552695,1.0553219178589575,0,-0.11737118524030449,4.666666667,2.096365187122539,0.911111111,2.2563031300202923,2,2.232142857,2.11038961,0.373052151,-0.2834427706977399,-0.283442780888815,-1.0993661520371172,0.0,-0.20274489638876494,1,1,0.29740955064721825,1,0,0,0,0,0,0,0,0,0,0,0.0,1
82478899,-0.7136772605918299,-0.5036809418119923,-0.25525416013212854,2.6168868221447212,2,-0.0244793120817781,5.0,2.096365187122539,0.8666666670000001,4.49432812571741,4,4.086829118,1.295496607,0.138786851,-0.06370978116984896,-0.063709791730498,-1.0993661520371172,0.0,-0.20274489638876494,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
44808895,0.6135110923700952,1.6828973359626536,-2.096205926552695,1.0553219178589575,1,0.10479297461427296,3.0,-1.2870254385696882,0.0,2.2563031300202923,0,1.494252874,2.353585112,0.324346123,-0.21019844085510955,-0.21019845146235322,-0.310380331962157,0.333333333,-0.20274489638876494,1,0,-0.8087046193540288,0,0,0,0,0,0,0,0,0,0,1,0.0,1
94803907,-0.7552808333142115,-1.3236477959774846,-0.25525416013212854,-0.5062429864268062,0,-0.1586656387448728,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,3.333333333,1.0,0.1755183239999999,0.7419778470990843,0.7419778350368424,1.2675913081877634,1.0,-0.20274489638876494,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
84031105,-0.6627902460223053,-0.5947883700526025,-0.25525416013212854,0.2745394657160757,1,-0.1000275147683858,2.0,-0.5062429864268062,0.5,1.137290632171733,1,3.227812323,4.352741662,0.165864891,0.5222448575711934,0.5222448458785255,0.08411257807532314,0.5,-0.20274489638876494,1,0,-0.5874817853537794,0,0,0,0,0,0,1,0,0,0,0,0.0,1
19298337,0.11289289498342085,0.49850076883472044,1.5856976062884378,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.962732919,0.5031472220000001,-0.576420090068261,-0.5764200999130596,-0.7048732419996371,0.166666667,-0.20274489638876494,1,1,0.29740955064721825,0,0,0,0,1,0,1,0,0,0,0,0.0,0
91284577,0.9879432468715296,-1.1414329394962641,-0.25525416013212854,1.0553219178589575,0,0.9315079337757303,3.166666667,-0.376112577476065,0.361111111,2.2563031300202923,2,2.770167428,1.567732116,0.129414322,1.7673984648959085,1.7673984509624998,1.2675913081877634,1.0,-0.20274489638876494,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
140882233,0.5454325188243799,-1.0503255112556538,-0.25525416013212854,-0.5062429864268062,0,-0.07607673173573619,1.0,-0.8966342124982472,0.5,0.018278134323173975,1,1.135718342,1.57107704,0.12,1.3279324858401267,1.3279324726458657,1.2675913081877634,1.0,-1.4506451796104807,0,2,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
83120069,-0.44033147287039714,-0.5036809418119923,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.993377483,0.026880626,0.5222448575711934,0.5222448458785255,1.2675913081877634,1.0,-0.20274489638876494,1,1,-0.5874817853537794,0,0,0,0,0,0,1,0,0,0,0,0.0,0
14676165,-0.72089771536183,1.500682479481433,-0.25525416013212854,-0.5062429864268062,0,-0.30732567136131866,1.0,-0.6363733953775473,0.833333333,0.018278134323173975,1,2.0,2.1875,0.340000927,1.0349551664696055,1.0349551540610873,1.2675913081877634,1.0,-0.20274489638876494,0,0,0.29740955064721825,0,0,0,0,1,0,0,0,0,0,0,0.0,1
84646899,-0.7408399237742113,-0.5947883700526025,1.5856976062884378,-0.5062429864268062,0,-0.10911229453939084,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,3.631647211,2.140077821,0.12,-0.06370978116984896,-0.063709791730498,1.2675913081877634,1.0,-0.20274489638876494,0,0,0.29740955064721825,0,0,1,0,0,0,1,1,0,0,0,0.0,1
42893411,1.074588704111531,2.229541905406315,-0.25525416013212854,2.6168868221447212,0,1.0388735128876079,5.0,0.14440905676533444,0.3666666670000001,4.49432812571741,2,2.8583992960000004,2.360011727,0.614235943,2.4998417633222116,2.499841748303379,1.2675913081877634,1.0,-1.4506451796104807,0,0,-0.5874817853537794,0,0,0,0,0,1,0,0,0,0,1,0.0,1
19255901,0.12905296042104014,0.49850076883472044,-0.25525416013212854,1.0553219178589575,0,0.6672234313464932,3.666666667,0.6649306917875166,0.680555556,2.2563031300202923,2,3.683693517,1.964636542,0.251559617,1.3279324858401267,1.3279324726458657,1.2675913081877634,1.0,-1.4506451796104807,0,1,0.29740955064721825,0,0,1,0,0,0,0,0,0,0,0,0.0,1
80743705,-0.6937350521794486,-0.23035865709016157,-0.25525416013212854,-0.5062429864268062,0,-0.5055390481832465,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.476474092,0.8338296609999999,0.097342144,-0.8693974094387822,-0.8693974189373044,0.08411257807532314,0.5,1.6691055284438088,0,1,0.29740955064721825,0,0,1,0,0,0,0,0,0,0,0,0.0,1
19345113,-0.7552808333142115,0.49850076883472044,-0.25525416013212854,-0.5062429864268062,0,-0.4394679225759372,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,1.066666667,1.0,0.0,-0.06370978116984896,-0.063709791730498,-0.7048732419996371,0.166666667,-1.4506451796104807,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
21457339,0.4182149824005684,2.0473270489250948,3.4266493727090044,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.974353755,0.261742438,0.9617108366269752,0.9617108241951595,0.4786054881128033,0.666666667,-0.20274489638876494,1,2,-0.5874817853537794,1,0,1,1,0,1,0,1,0,0,0,0.0,1
88497131,-0.5231947871356365,-0.9592180830150435,-0.25525416013212854,-0.5062429864268062,0,-0.08433562243664985,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,2.712643678,1.011494253,0.096477285,1.108199496312236,1.1081994834875486,1.2675913081877634,1.0,-0.20274489638876494,1,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
20670471,-0.6937350521794486,0.04296362763166917,-0.25525416013212854,-0.5062429864268062,0,1.8796285862406183,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,17.6771888,2.144133413,0.281861421,-0.13695411101247926,-0.13695412159642562,1.2675913081877634,1.0,-0.20274489638876494,1,1,0.29740955064721825,1,0,0,0,0,0,1,0,0,0,0,0.0,1
80478343,-0.17145549048277398,-0.23035865709016157,-0.25525416013212854,1.8361043700018393,0,-0.29080788995949136,3.833333333,1.7059739610510984,1.0,3.3753156278688516,4,1.063164478,0.938086304,0.258980315,0.7419778470990843,0.7419778350368424,1.2675913081877634,1.0,-0.20274489638876494,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
7200803,0.3130026414662811,1.136252766518992,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.975255047,0.560835354,1.181443826154866,1.1814438133534766,1.2675913081877634,1.0,-0.20274489638876494,1,0,1.4035237206484654,0,0,0,0,0,1,0,1,0,0,0,0.0,1
85913605,-0.3093317934718237,-0.5947883700526025,-0.25525416013212854,-0.5062429864268062,0,-0.4477268132768509,1.0,-0.8966342124982472,0.5,0.018278134323173975,0,0.536288881,1.859134787,0.508316079,1.3279324858401267,1.3279324726458657,0.8730983981502833,0.833333333,-0.20274489638876494,0,2,0.29740955064721825,0,0,0,0,0,1,0,1,0,0,0,0.0,1
44566485,-0.5228509559561128,2.0473270489250948,1.5856976062884378,0.2745394657160757,1,0.2415841554044359,2.0,-0.5062429864268062,0.5,1.137290632171733,1,4.524949449,2.113970588,0.278152169,0.30251186804330255,0.3025118567202084,-0.7048732419996371,0.166666667,-0.20274489638876494,1,2,-0.5874817853537794,0,0,1,0,0,1,0,1,0,0,0,0.0,1
53352539,-0.682044792075639,1.2273601947596025,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.050788091,0.409281529,0.5222448575711934,0.5222448458785255,1.2675913081877634,1.0,-0.20274489638876494,1,0,-1.6935959553550264,1,0,0,0,0,1,0,0,0,0,0,0.0,0
92206577,-0.3416519243470623,-1.1414329394962641,-0.25525416013212854,0.2745394657160757,0,0.44423338242182436,1.166666667,-0.376112577476065,1.0,1.137290632171733,2,4.550499445,0.998890122,0.128530158,0.668733517256454,0.6687335051709147,1.2675913081877634,1.0,-0.20274489638876494,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
55084655,-0.44755192764039725,1.865112192443874,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.002087683,0.273429634,0.37575619788593284,0.37575618658613624,1.2675913081877634,1.0,-0.20274489638876494,1,1,-1.6935959553550264,0,0,0,0,0,0,1,0,0,0,0,0.0,0
